Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.0,27.973214285714285,27.028061224489793,70.95238095238095,65.41666666666667
2,0.13095238095238096,29.145186335403725,27.35884353741497,75.73809523809524,70.76785714285714
3,0.0,26.566123188405797,25.302944862155385,73.80952380952381,68.31547619047619
4,0.0,27.695238095238096,26.140507518796994,71.80952380952381,66.4702380952381
5,0.06547619047619048,27.490277777777777,27.00297619047619,77.78571428571429,72.55357142857143
6,0.023809523809523808,26.899603174603175,26.014880952380953,78.30357142857143,73.4047619047619
7,0.005952380952380952,27.372298534798535,26.300429894179896,75.85714285714286,70.16071428571429
8,0.0,28.18074980574981,27.2323082010582,74.32738095238095,68.48214285714286
9,0.020833333333333332,27.96626984126984,27.702380952380953,71.75,66.42857142857143
10,0.0,28.570632798573975,26.893009768009765,73.23809523809524,67.57738095238095
11,0.07142857142857142,27.007593662464988,24.562347374847377,78.67857142857143,73.5
12,0.01488095238095238,26.210193452380953,24.33095238095238,77.14880952380952,71.79761904761905
13,0.08333333333333333,24.360119047619047,22.628869047619048,75.64880952380952,69.94047619047619
14,0.0,28.767857142857142,25.071641156462587,75.7797619047619,69.9702380952381
15,0.0,25.699404761904763,23.93877551020408,78.94642857142857,73.78571428571429
16,0.08928571428571429,25.459359605911327,22.497481684981683,74.9047619047619,69.45833333333333
17,0.026785714285714284,22.603140394088673,22.23211015175301,79.45238095238095,75.43452380952381
18,0.0,22.44047619047619,22.125,78.73809523809524,73.41071428571429
19,0.0,23.09375,22.16976883345931,75.45238095238095,70.1547619047619
20,0.30357142857142855,22.370535714285715,21.758377425044092,79.80357142857143,75.95833333333333
21,0.02976190476190476,22.32308201058201,22.5625,83.70833333333333,79.89285714285714
22,0.0,22.37632275132275,23.199663561076605,79.67857142857143,74.61904761904762
23,0.0,23.086309523809526,22.975931677018632,75.89880952380952,70.92857142857143
24,0.0,21.99702380952381,20.8796768707483,82.70833333333333,78.39285714285714
25,0.05952380952380952,20.21658163265306,20.597704081632653,81.25595238095238,76.19047619047619
26,0.005952380952380952,20.005442176870748,19.858470695970695,79.89880952380952,74.43452380952381
27,0.05952380952380952,18.2375,18.176053113553113,84.98214285714286,79.47619047619048
28,0.0,19.788214285714286,18.866071428571427,84.88095238095238,80.1547619047619
29,0.0,20.933809523809526,21.034931077694235,80.64285714285714,75.97619047619048
30,0.05357142857142857,21.841097308488614,19.957330827067672,80.82142857142857,75.83333333333333
31,0.0,21.960766333904278,19.65235116979384,76.13736392172578,70.57076905095839
32,0.0,21.549442896935933,18.261640027797082,75.22054698457222,70.87412342215988
33,0.0,22.251392757660167,18.611883252258515,74.16023842917251,69.34256661991584
34,0.0,22.9533426183844,18.962126476719945,73.0999298737728,67.8110098176718
35,0.0,23.655292479108635,19.312369701181375,72.03962131837308,66.27945301542778
36,0.0,24.35724233983287,19.662612925642808,70.97931276297335,64.74789621318374
37,0.0,25.059192200557103,20.012856150104238,69.91900420757364,63.216339410939696
38,0.0,25.761142061281333,20.36309937456567,68.85869565217392,61.684782608695656
39,0.0,26.46309192200557,20.7133425990271,67.79838709677419,60.153225806451616
40,0.0,24.26109231993633,22.703472291163397,70.67678070526948,64.9775721298337
41,0.011904761904761904,25.83008658008658,25.984668109668107,70.9702380952381,66.39880952380952
42,0.008928571428571428,25.487515460729746,23.174367299367297,74.63690476190476,69.45833333333333
43,0.0,25.83147804576376,23.903960622710624,74.61309523809524,69.82738095238095
44,0.0,24.234848484848484,23.316964285714285,70.92857142857143,65.89880952380952
45,0.0,24.009157509157507,22.278333333333336,77.27380952380952,72.63690476190476
46,0.0,26.526556776556774,23.162531055900622,69.38095238095238,64.00595238095238
47,0.23809523809523808,23.824767711962835,24.10654207335108,82.55952380952381,78.57738095238095
48,0.14583333333333334,23.538327526132406,22.84470663265306,82.38095238095238,78.375
49,0.17261904761904762,25.407738095238095,23.078125,82.63095238095238,78.71428571428571
50,0.0,24.893145161290324,24.95818070818071,77.69642857142857,72.91071428571429
51,0.0,28.288402457757293,25.674557387057387,74.26190476190476,69.42857142857143
52,0.0625,28.102941176470587,27.062573099415204,74.58333333333333,69.21875
