COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,Média de Precipitação,Média de Temperatura Máxima,Média de Temperatura Mínima,Média de Umidade Relativa Máxima,Média de Umidade Relativa Mínima
1,3,. Cruzeiro,199.0,3151400,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
2,3,. Lago Norte,283.0,3582100,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
3,3,. Lago Sul,223.0,2937700,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
4,3,. Plano Piloto,1047.0,20618300,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
5,3,. Sudoeste Octogonal,146.0,5003300,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
6,3,. Varjão,84.0,879300,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
7,3,. Candangolândia,101.0,1601900,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
8,3,. Estrutural,353.0,3068700,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
9,3,. Guará,745.0,10784700,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
10,3,. Núcleo Bandeirante,143.0,2313400,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
11,3,. Park Way,92.0,2034500,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
12,4,. Riacho Fundo I,283.0,3529100,0.1416904952533455,23.434336040260774,21.65070341987876,66.3400434633421,58.908841358801325
13,4,. Riacho Fundo II,1023.0,3710800,0.1416904952533455,23.434336040260774,21.65070341987876,66.3400434633421,58.908841358801325
14,3,. SIA,8.0,435600,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
15,5,. Jardim Botânico,309.0,3586500,0.1240630222010026,23.17444219066937,21.64494690371077,70.6702470461869,63.84640171858217
16,5,. Itapoã,551.0,5208900,0.1240630222010026,23.17444219066937,21.64494690371077,70.6702470461869,63.84640171858217
17,5,. Paranoá,1006.0,4828100,0.1240630222010026,23.17444219066937,21.64494690371077,70.6702470461869,63.84640171858217
18,5,. São Sebastião,2099.0,7457000,0.1240630222010026,23.17444219066937,21.64494690371077,70.6702470461869,63.84640171858217
19,2,. Fercal,49.0,876300,0.1066779170684667,22.958572462020737,21.231070653484444,69.02158186640945,61.92874367012298
20,2,. Planaltina,2164.0,17265700,0.1066779170684667,22.958572462020737,21.231070653484444,69.02158186640945,61.92874367012298
21,2,. Sobradinho,1694.0,7025200,0.1066779170684667,22.958572462020737,21.231070653484444,69.02158186640945,61.92874367012298
22,2,. Sobradinho II,725.0,8083000,0.1066779170684667,22.958572462020737,21.231070653484444,69.02158186640945,61.92874367012298
23,1,. Brazlândia,2545.0,5797400,0.1540564485508163,23.17544378698225,21.71888757396449,64.75727810650888,58.0992899408284
24,1,. Ceilândia,5280.0,40593200,0.1540564485508163,23.17544378698225,21.71888757396449,64.75727810650888,58.0992899408284
25,3,. Águas Claras,743.0,9892800,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
26,4,. Recanto Das Emas,2566.0,12361500,0.1416904952533455,23.434336040260774,21.65070341987876,66.3400434633421,58.908841358801325
27,4,. Samambaia,3518.0,20123000,0.1416904952533455,23.434336040260774,21.65070341987876,66.3400434633421,58.908841358801325
28,3,. Taguatinga,2169.0,20570200,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
29,3,. Vicente Pires,1099.0,6106600,0.1137635636778983,22.7355436149537,21.207453984223164,68.32674059677603,61.43569223733852
30,4,. Gama,933.0,13454900,0.1416904952533455,23.434336040260774,21.65070341987876,66.3400434633421,58.908841358801325
31,4,. Santa Maria,670.0,11969100,0.1416904952533455,23.434336040260774,21.65070341987876,66.3400434633421,58.908841358801325
32,7,Angra dos Reis,3248.0,16743400,0.2437333949405105,24.023082255083175,23.001548059149723,84.17095991683031,78.73316391359593
33,8,Rio de janeiro,43592.0,621122300,0.1293983331430528,24.603711740520783,23.57488579259936,72.6809456096694,66.56114468538927
34,6,Campos de Goytacazes,8300.0,4835400,0.0914063393981004,24.797825589379723,23.700411993591214,78.98065918974594,73.96349279011216
35,9,Valença,80.0,6808800,0.1654803384768541,22.913660826749112,21.731111874499028,80.66277338829727,76.09024278515804
